Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_1Y_Rank,Volatility_3Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_1Y_Rank,Momentum_3Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
GF,0.948,0.3617325144466357,0.6835956806819692,0.86562824,0.0132328079123041,0.0118488954799396,187928144,0.30961,-0.130756999455347,2134.0,953.0,328.0,231.0,1123.0,686.0,996.0,1350.0,299.0,8100.0
GGN,0.355,0.2912773563481303,1.184563729373263,1.1337467,0.011282875916778,0.0102415616439133,799019904,0.18195999,-0.0348557209598432,537.5,1614.0,203.0,155.0,2088.0,1367.0,1175.0,813.0,707.0,8659.5
FMY,0.256,0.0569854914967731,0.3604274858623066,0.9622021,0.0065748539519951,0.0087648600653712,51694924,0.104890004,-0.1006623386817211,366.0,1211.0,46.0,109.0,572.0,820.0,2172.0,1988.0,1454.5,8738.5
BCH,0.141,0.3530356514806765,1.3644541383546795,0.5555858,0.0144923394349839,0.0145931483992856,15485919232,0.22372,-0.0657327309838477,261.5,570.0,456.0,464.0,3866.0,1075.0,1024.0,699.0,526.0,8941.5
GLU,0.769,0.1742486538369534,0.6046416136401171,1.0343833,0.0121649864622721,0.0125914493182449,107302608,0.19327,-0.0716362313502027,1529.5,1422.0,263.0,282.0,845.0,1026.0,1581.0,1485.0,649.0,9082.5
EEA,1.02,0.1707473931492014,0.7765012060681069,0.8850718,0.0100548158373092,0.0105420409088578,71736576,0.12899,-0.0549258552625425,2362.0,991.0,156.0,167.0,684.0,1160.0,1600.0,1219.0,1132.0,9471.0
BANX,0.256,0.1559759015732791,0.8086649992589094,0.9850598,0.0118225900788963,0.0135680115933162,156051008,0.12538,0.0221798509149971,366.0,1295.0,243.0,359.0,1021.0,2291.0,1664.0,1175.0,1167.0,9581.0
HNW,0.625,0.1670512267809658,0.6843826213500426,1.036788,0.0061164785836548,0.0060220047074403,106643240,0.10722,-0.0071175268679368,1110.5,1428.0,35.0,10.0,842.0,1780.0,1614.0,1348.0,1421.0,9588.5
PGP,1.111,0.1519254992690066,0.8043809949718665,1.0520852,0.0107873709920842,0.0114155628924562,98805872,0.19634001,-0.0890172225259704,2666.5,1457.0,184.0,209.0,812.0,890.0,1682.0,1179.0,637.0,9716.5
PPT,0.294,0.0949578485596636,0.3650030772649391,0.9841059,0.0067279475006209,0.0073266112133959,355033376,0.05993,-0.2349138511381118,435.5,1290.0,55.0,61.0,1520.0,367.0,1969.0,1974.0,2125.0,9796.5
TSI,0.301,0.0710503038611694,0.3702901424028058,0.97940147,0.0053619465336702,0.0064346925294089,240838608,0.09187,-0.061879598383948,444.0,1272.0,13.0,18.0,1259.0,1098.0,2096.0,1962.0,1658.0,9820.0
IGA,0.529,0.1773462302850015,0.6161008079231898,0.9457261,0.0105702321766622,0.0088536690510399,151572960,0.14681,0.0451371215222196,872.0,1166.0,171.0,111.0,1006.0,2664.0,1566.0,1465.0,959.0,9980.0
JOYY,0.279,0.8238999668075506,1.6413307303437632,0.47981396,0.0257174540207991,0.0280084093123679,3157792512,0.27582002,-0.1126925051259066,402.0,503.0,1888.0,2212.0,3017.0,768.0,445.0,553.0,375.0,10163.0
SENEA,0.311,0.7180195528010469,1.1085874621788985,1.1280231,0.0174176358413725,0.0211033834954844,728587392,0.07047,-0.1463644791137553,457.0,1601.0,771.0,1362.0,2024.0,623.0,538.0,863.0,1989.0,10228.0
EMD,0.824,0.1360546088926519,0.7754562064684791,0.96074766,0.0081526953479262,0.0098386018692358,597580928,0.13061,-0.0618664545818565,1707.0,1203.0,110.0,146.0,1892.0,1099.0,1765.0,1220.0,1116.0,10258.0
EIM,0.515,-0.0172841518086028,0.187219723747257,0.8560783,0.0067955183950322,0.0068123844635327,507561280,0.14303,-0.1342801595465133,849.5,941.0,58.0,34.0,1769.0,667.0,2604.0,2383.0,990.5,10296.0
JOF,0.491,0.407288734899069,1.0273566972815518,1.1272074,0.0108822945230715,0.0103299588993179,302039296,0.02834,-0.0018806655364767,801.0,1599.0,187.0,159.0,1418.0,1868.0,907.0,941.0,2473.0,10353.0
FINS,0.233,0.0929776269314197,0.3508057991825719,0.92890555,0.0060671018451133,0.0060496444224083,437927840,0.112440005,-0.0024217586029455,339.0,1120.0,32.0,12.0,1665.0,1864.0,1981.0,2014.0,1351.0,10378.0
LSBK,0.284,0.3441387080097884,0.4255772386764502,0.7981192,0.0195459581657372,0.0191875982718044,102279296,0.06424,-0.0546311083161637,413.0,859.0,1089.0,1064.0,831.0,1165.0,1039.0,1853.0,2078.0,10391.0
MGYR,0.234,0.4180019315393963,0.4675318728744877,0.9594055,0.013989806999337,0.014739126600553,111601392,0.086780004,0.0491859291165358,340.5,1199.0,409.0,484.0,869.0,2715.0,881.0,1762.0,1738.0,10397.5
MSD,0.567,0.0444435857728688,0.6678475799189056,1.0049313,0.0094712760901657,0.0089768601813044,152470800,0.10633001,-0.0077984177848988,970.5,1356.0,141.0,120.0,1014.0,1764.0,2239.0,1376.0,1439.0,10419.5
USAC,0.396,0.1211794909949475,0.9295866392239616,-24.010101,0.020069386076838,0.0178139473425726,2916197376,3.1474,0.0032304622984843,614.5,22.0,1159.0,870.0,2960.0,1951.0,1836.0,1030.0,18.0,10460.5
LOAN,0.344,0.0936993169089395,0.2625244115213561,1.4379774,0.0159579503820294,0.0151851038768746,62455036,0.12682,-0.1112781930491791,516.5,2052.0,617.0,543.0,637.0,775.0,1977.0,2201.0,1150.5,10469.0
JHS,0.5,0.0714466191150227,0.2707158322301275,0.9749211,0.0053946232597261,0.0060376167308099,136730912,0.14074,0.0133365922600453,820.0,1259.0,14.0,11.0,963.0,2137.0,2092.0,2179.0,1016.0,10491.0
VPV,0.657,0.0146907935335145,0.2932756373638716,0.9096406,0.0061496003435122,0.0062157003696661,188193824,0.052849997,-0.267082306457197,1209.0,1053.0,36.0,14.0,1124.0,310.0,2403.0,2122.0,2221.0,10492.0
MPV,0.488,0.2843675509070982,1.163144481806733,1.2411505,0.0137574968850641,0.012885179844938,208655504,0.09089,0.0301165006334113,790.5,1796.0,384.0,304.0,1177.0,2439.0,1195.0,824.0,1679.0,10588.5
CIF,0.743,0.132155462300809,0.4465676063571784,0.98955464,0.0080894237718305,0.0085510649801899,32223574,0.086,-0.0048507595219538,1459.0,1313.0,109.0,101.0,446.0,1822.0,1781.0,1808.0,1753.0,10592.0
DMO,0.404,0.1351932848418191,0.5682959315770972,0.9893519,0.0065975923253748,0.0079812733255952,134389728,0.11413,0.0660996134357089,624.5,1312.0,48.0,85.0,958.0,2934.0,1768.0,1552.0,1319.0,10600.5
MXE,0.793,0.3710926829589893,0.6924065148824117,1.0616469,0.012148994553631,0.01265660842857,52362484,-0.26966998,-0.1467014927049962,1604.5,1478.0,262.0,288.0,576.0,618.0,973.0,1330.0,3490.0,10619.5
MBBC,0.393,0.6246960369089829,0.3143107041787412,0.7004879,0.0215863786405156,0.0201159314040939,30831394,0.01456,-0.0818523355185612,610.5,741.0,1385.0,1223.0,433.0,941.0,627.0,2082.0,2586.0,10628.5
FTF,0.486,0.0744502190464584,0.4496440525254697,0.9376375,0.006751207697654,0.0068424027154964,258190352,0.070149995,-0.029862355157081,783.5,1146.0,57.0,36.0,1310.0,1430.0,2071.0,1802.0,1997.0,10632.5
AEF,0.875,0.3014305076920927,0.7448034705524702,0.9586353,0.0135510723288746,0.0125216679496306,257819040,0.14571,0.0180130618152622,1909.0,1193.0,355.0,277.0,1308.0,2219.0,1151.0,1263.0,971.0,10646.0
TEI,0.656,0.1844061875863614,0.9166664469700764,0.9815951,0.0099720454543608,0.012446419225813,294705312,0.110530004,0.027584998930042,1206.0,1277.0,153.0,271.0,1400.0,2390.0,1532.0,1046.0,1374.5,10649.5
VTN,0.692,0.0175665240324205,0.350053689946272,0.9269253,0.0065983458617663,0.006910453063872,158061968,0.02882,-0.2991954316093101,1315.0,1110.0,49.0,38.0,1032.0,256.0,2385.0,2015.0,2469.0,10669.0
WIA,0.549,0.0673925658199139,0.2457132593235689,0.9192628,0.0046182813347079,0.0056300546451125,195440512,0.05034,-0.0863480901398667,921.5,1088.0,7.0,5.0,1147.0,911.0,2112.0,2242.0,2248.0,10681.5
IGD,0.56,0.1940127984868034,0.6226654454636422,0.9730344,0.009550920365172,0.0090324472892586,472422368,0.14099,0.0451044248900583,948.5,1247.0,144.0,123.0,1721.0,2663.0,1483.0,1447.0,1013.0,10789.5
WIW,0.534,0.1101796047358067,0.2820509113559826,0.9171659,0.0052546950414221,0.0059440504629965,543315136,0.05027,-0.1251219260348333,885.5,1077.0,12.0,8.0,1822.0,711.0,1898.0,2153.0,2249.0,10815.5
DGICA,-0.019,0.370527977433646,0.5939828833137155,1.1502137,0.0165727794233783,0.0151132040808159,683545408,0.15201001,0.030771867395161,164.0,1652.0,680.0,533.0,1974.0,2449.0,975.0,1510.0,915.0,10852.0
NIM,0.214,0.0440220815084086,0.1649225403669529,0.9443653,0.0060731428117798,0.0065914359679971,115566680,0.01511,-0.0501237721888061,319.5,1163.0,33.0,25.0,883.0,1206.0,2241.0,2432.0,2580.0,10882.5
CLST,0.177,0.1891891311374309,0.0619468612377049,0.59809697,0.0107393705327553,0.0124407301305145,54631696,0.02694,0.0212784019606395,286.5,619.0,180.0,270.0,588.0,2278.0,1510.0,2679.0,2486.0,10896.5
GIGM,0.33,0.311111073827548,0.4274193284786953,0.4962153,0.023828194494992,0.0200029891534239,19562456,-0.01506,-0.0890164956878938,492.0,515.0,1676.0,1208.0,333.0,891.0,1129.0,1849.0,2804.0,10897.0
SPE,0.843,0.2183921900835264,0.8448638409793323,0.9116542,0.0095090977295538,0.0084259388215258,164871360,0.13085,0.082419309172879,1778.5,1061.0,142.0,96.0,1055.0,3128.0,1390.0,1139.0,1113.0,10902.5
BRW,0.453,0.1910281882820577,0.5105305540713057,0.9535573,0.0094420733216047,0.0085266526426306,328327680,0.15007,0.0887710700532802,718.5,1184.0,139.0,100.0,1464.0,3207.0,1500.0,1660.0,930.0,10902.5
BKT,0.476,-0.0127755170171295,0.1925162830946969,0.9440148,0.0058794570740057,0.0070709972767789,272795936,0.07217,-0.1235828681894636,760.5,1162.0,27.0,48.0,1345.0,719.0,2568.0,2368.0,1960.5,10958.0
BSAC,0.549,0.3814516058548429,1.307676903755,1.107447,0.0152400719181615,0.0160601769010917,12505285632,0.24194,-0.0336006712027613,921.5,1565.0,536.0,641.0,3777.0,1379.0,954.0,726.0,466.0,10965.5
VLT,0.759,0.1178989390306635,0.5980608742141049,0.9881284,0.0068645218272931,0.007026081372707,73557776,0.09879,0.0317971716975732,1496.5,1310.0,63.0,45.0,693.0,2466.0,1858.0,1500.0,1541.5,10973.0
FRA,0.439,0.1151175587026909,0.6272254936414297,1.0462132,0.0086611318250819,0.0079045802800517,461372832,0.06796,-0.0150977909368172,690.5,1450.0,122.0,80.0,1704.0,1642.0,1872.0,1438.0,2027.0,11025.5
DHF,0.8,0.1011231462351887,0.6093404165706195,0.9597637,0.0088567387034745,0.0092197811741553,189114992,0.08043,-0.0191005090449458,1624.0,1200.0,130.0,127.0,1130.0,1579.0,1935.0,1476.0,1839.0,11040.0
MIN,0.278,0.0642284589991695,0.257138341220108,0.96146923,0.0064076538205295,0.0074514211464505,303841312,0.0757,-0.0139485574619019,398.0,1207.0,38.0,67.0,1422.0,1662.0,2132.0,2214.0,1901.0,11041.0
PROV,0.377,0.1409218041715489,0.1878910649273828,0.8110736,0.0133977084615528,0.0147606349233245,104246056,0.0484,-0.0208984436409369,574.5,877.0,338.0,486.0,833.0,1546.0,1748.0,2382.0,2266.0,11050.5
PSIX,1.588,4.647988155199303,64.21764684515429,18.807465,0.0735593594313076,0.0696129453044173,2553319168,1.38288,0.15433885678308,0.010211512559507066,-0.12170453548999884,0.014375848141511018,0.014067750584809314,0.11350233640113622,0.02032203116163019,0.1065828722737503,29.144461063699893,0.1825858237480813,29.48440470308032
ABBV,0.525,0.1755539340379353,0.7439436509830142,-2115.2886,0.0175781421975984,0.0145492841898735,388625137664,1.1285399,0.0033404844444774,0.013742032059668813,20.472017821670605,0.015328755840336931,0.015689034664740416,-2.5966875345407026,0.033592012056659196,-0.017125321103410376,0.059420382966067525,0.1574880971990765,18.153465280813037
SLNO,-2.718,0.3398421441166337,35.44067835878575,13.547574,0.0415784268227935,0.1943106713587461,3427853056,-0.69526,0.8317016342817296,0.024512939622250703,-0.07094733825814513,0.014920224959382984,0.010396174195528974,0.10736318619253962,-0.039205703986763436,-0.012581084864934032,15.958223976920257,-0.022480500636271883,15.970201874143845
HCA,1.422,0.0352719455474932,1.2818215421788284,-22.390497,0.0179104123789574,0.0162191512691652,97486372864,136.31683,0.0587429506680187,0.010762844861507867,0.27584991626278715,0.015323099964499409,0.01563986741257342,-0.5529192676070894,0.028723153823702385,-0.021005541695006215,0.30588781056897074,13.497573823190898,13.575835706782843
TSSI,1.771,1.591988116708233,29.120689338013324,44.005035,0.0864202442500074,0.076897714742625,503384832,1.2280201,2.7721875,0.009603718515735101,-0.3648574887077441,0.014156931212529474,0.013853259203795508,0.12789269334344344,-0.2097387366701379,0.022053458306406575,13.062266619451362,0.16730458644572027,12.84253504110111
CLS,1.624,3.845053426129192,28.041064549356044,15.730734,0.0468523157629103,0.0360850110177023,27778289664,0.30236,0.0165860283507342,0.010091946518109303,-0.09201452058353812,0.014830453253405072,0.015054940775068379,-0.06357471573747835,0.03242797226034835,0.08437357867183115,12.567558900855401,0.07596246592628811,12.644711021939434
SKYX,-3584.22,0.5061728703941155,-0.6494252810564519,-15.844156,0.0563623730048256,0.0540370153955726,135965424,-4.81191,-0.1369398907690778,11.919680061793747,0.21267866018847495,0.014668573837238333,0.014526365335085384,0.13047194494960376,0.04592007804969562,-0.007980352325696114,-0.5790517721509194,-0.4287025474073496,11.322211012269879
APP,2.439,4.089755541791351,30.590550814509218,186.33382,0.0579598457706682,0.0482014471541816,217129385984,2.53772,0.0951771229479396,0.007385104192021039,-1.7383099446645496,0.014641381786538881,0.014698186708666731,-1.3928025917771107,0.025521259905292613,0.09114207545617825,13.73578933338768,0.29654291713545,11.054607722130168
INOD,2.581,3.4909443812328496,23.024220686828627,25.495777,0.0780928354640549,0.0705161022549578,2210882304,0.74317,0.9089195874207064,0.006913482584285415,-0.18624579144609635,0.014298679683454584,0.014041158201448817,0.11590621276762501,-0.04599174245219601,0.0745788700106352,10.26873118973016,0.11946063566069808,10.381692694740014
RGTI,1.446,40.35947709973922,16.87570606248614,18.51375,0.1158459477275875,0.093968995118881,10256585728,-0.48808,0.7808871073646295,0.01068313416724269,-0.11887022767165167,0.01365604929583063,0.013350615635644648,0.05942608943390702,-0.03474004127175238,1.094367948962994,7.451347155462725,-0.0020364299355730454,8.487184294079366
UAMY,0.054,7.662337975993417,17.027027000903736,21.174604,0.0758770931235594,0.0572064408966582,858614720,-0.02792,0.2330524351401379,0.01530635443462289,-0.14454708889998638,0.014336395868260965,0.014433045366826307,0.1253990110848836,0.013404554735889312,0.1899602350469866,7.520685722904725,0.04337115561145649,7.792349386153664
ACIC,-0.285,0.0321861799758349,15.765652434064505,1.5237325,0.02876513313246,0.0670741246987857,551047936,0.31544,0.1447074393483298,0.0164322679911185,0.045081015656422196,0.015138331796071845,0.014142503141148587,0.1275581025872943,0.02116845568509845,-0.02109089442803225,6.942696276189554,0.07725317180892706,7.2383792304276025
